START TIME:2025-08-06 11:36:52,
46.821,1372995
46.86,1373025
46.899,1372826
46.939,1372902
46.979,1372695
47.017,1372672
47.058,1372856
47.096,1372818
47.137,1372802
47.174,1372818
47.209,1372787
47.25,1372933
47.285,1372764
47.319,1372726
47.354,1372664
47.395,1372518
47.43,1372572
47.465,1372487
47.505,1372471
47.544,1372602
47.584,1372449
47.624,1372487
47.664,1372633
47.703,1372471
47.743,1372572
47.782,1372495
47.822,1372395
47.861,1372541
47.901,1372533
47.94,1372471
47.98,1372549
48.02,1372372
48.059,1372525
48.099,1372595
48.139,1372595
48.178,1372457
48.219,1372533
48.257,1372487
48.299,1372587
48.337,1372479
48.378,1372295
48.416,1372226
48.457,1372310
48.496,1372148
48.536,1372264
48.576,1372241
48.615,1372202
48.655,1372372
48.695,1372372
48.734,1372310
48.773,1372403
48.814,1372241
48.852,1372326
48.894,1372326
48.931,1372148
48.973,1372134
49.011,1372041
49.045,1372088
49.086,1372164
49.121,1371956
49.155,1371995
49.19,1372134
49.232,1372202
49.266,1372333
49.302,1372256
49.343,1372326
49.382,1372518
49.423,1372533
49.462,1372457
49.501,1372379
49.541,1372457
49.579,1372194
49.62,1372156
49.659,1372072
49.7,1371887
49.737,1371933
49.778,1371864
49.817,1371795
49.858,1372034
49.896,1371987
49.936,1371972
49.975,1371941
50.015,1371818
50.054,1371879
50.095,1371703
50.133,1371695
50.174,1371725
50.212,1371610
50.253,1371841
50.291,1371881
50.325,1371683
50.366,1371940
50.401,1372068
50.435,1371861
50.47,1371920
50.512,1372088
50.547,1372107
50.582,1372324
50.622,1371910
50.662,1371713
50.702,1372087
50.741,1372285
50.781,1371949
50.821,1372334
50.86,1372610
50.9,1373359
50.939,1374010
50.98,1374267
51.019,1374631
51.06,1375450
51.098,1375893
51.139,1376031
51.177,1376544
51.218,1376869
51.257,1377421
51.298,1377993
51.336,1378141
51.377,1378476
51.415,1379137
51.456,1379364
51.492,1379738
51.527,1379728
51.567,1380034
51.603,1380507
51.644,1380488
51.682,1380764
51.716,1380754
51.751,1380704
51.793,1380990
51.827,1380783
51.862,1380734
51.904,1381109
51.941,1381168
51.983,1381395
52.019,1381680
52.061,1381966
52.098,1382430
52.14,1382637
52.176,1382755
52.217,1382775
52.254,1383061
52.295,1383209
52.334,1383179
52.372,1383297
52.414,1383593
52.452,1383534
52.493,1383583
52.531,1383564
52.571,1383455
52.611,1383712
52.651,1383771
52.69,1383731
52.731,1384027
52.769,1384135
52.81,1384185
52.849,1384313
52.883,1384234
52.924,1384076
52.959,1383987
52.993,1383968
53.028,1384067
53.071,1384106
53.106,1384264
53.141,1384422
53.183,1384668
53.218,1384698
53.26,1384757
53.297,1385003
53.339,1384964
53.375,1384954
53.418,1384875
53.454,1384875
53.496,1385023
53.533,1384865
53.567,1384658
53.609,1384915
53.644,1385043
53.686,1384915
53.725,1384905
53.764,1384924
53.804,1385122
53.842,1385250
53.884,1385230
53.921,1385141
53.962,1385279
54,1385250
54.042,1385417
54.079,1385378
54.113,1385250
54.148,1385200
54.19,1385289
54.225,1385210
54.259,1385171
54.301,1385062
54.338,1385161
54.38,1385338
54.417,1385279
54.459,1385299
54.495,1385358
54.538,1385378
54.574,1385397
54.616,1385210
54.652,1385269
54.695,1385437
54.731,1385279
54.766,1385496
54.808,1385555
54.843,1385546
54.885,1385733
54.923,1385496
54.964,1385496
55.004,1385605
55.043,1385486
55.083,1385526
55.122,1385477
55.163,1385398
55.202,1385615
55.242,1385398
55.281,1385299
55.315,1385240
55.35,1385240
55.392,1385348
55.426,1385270
55.461,1385122
55.502,1385417
55.54,1385477
55.58,1385496
55.619,1385437
55.659,1385457
55.697,1385644
55.738,1385812
55.777,1385644
55.818,1385595
55.857,1385782
55.895,1385910
55.936,1385910
55.975,1385802
56.016,1385782
56.054,1385703
56.095,1385861
56.133,1385772
56.168,1385585
56.208,1385516
56.244,1385536
56.278,1385565
56.312,1385703
56.355,1385477
56.389,1385378
56.424,1385595
56.466,1385733
56.5,1385545
56.535,1385467
56.577,1385496
56.612,1385703
56.646,1385713
56.689,1385634
56.723,1385555
56.765,1385802
56.801,1385762
56.835,1385615
56.869,1385713
56.911,1385920
56.946,1385881
56.988,1385713
57.023,1385713
57.06,1385753
57.099,1385950
57.139,1385851
57.179,1385861
57.217,1385999
57.258,1386137
57.297,1386038
57.338,1386038
57.376,1386068
57.417,1385831
57.455,1385615
57.497,1385506
57.533,1385605
57.568,1385703
57.61,1385634
57.645,1385408
57.679,1385703
57.721,1385644
57.756,1385634
57.798,1385595
57.833,1385703
57.868,1385979
57.909,1386176
57.944,1385999
57.978,1386058
58.02,1386137
58.055,1386117
58.094,1385871
58.131,1385772
58.173,1385654
58.211,1385614
58.245,1385605
58.286,1385427
58.322,1385210
58.356,1385378
58.39,1385427
58.432,1385259
58.467,1385348
58.502,1385535
58.543,1385516
58.578,1385585
58.613,1385575
58.655,1385407
58.689,1385674
58.731,1385762
58.766,1385723
58.8,1385910
58.843,1386019
58.877,1385881
58.912,1385851
58.954,1385713
58.988,1385674
59.023,1385605
59.062,1385496
59.097,1385467
59.137,1385565
59.173,1385506
59.215,1385674
59.253,1385585
59.288,1385595
59.329,1385703
59.363,1385516
59.398,1385605
59.432,1385743
59.474,1385516
59.509,1385644
59.543,1385555
59.585,1385486
59.622,1385723
59.664,1385536
59.7,1385654
59.735,1385792
59.777,1385753
59.811,1385910
59.846,1385792
59.887,1385684
59.922,1385782
59.957,1385693
59.998,1385772
60.032,1385812
60.067,1385802
60.108,1385999
60.143,1386157
60.179,1386285
60.219,1386265
60.259,1386048
60.299,1385861
60.338,1385812
60.379,1385644
60.418,1385605
60.458,1385427
60.498,1385614
60.537,1385920
60.576,1386127
60.616,1386029
60.656,1386127
60.696,1385877
60.735,1385838
60.776,1385621
60.814,1385108
60.855,1384650
60.893,1384340
60.935,1384021
60.972,1383789
61.015,1383260
61.051,1382671
61.085,1382484
61.127,1382251
