START TIME:2025-08-06 10:43:44,
116.649,1361802
116.69,1362221
116.724,1362226
116.762,1363372
116.802,1363896
116.841,1364212
116.881,1363906
116.92,1363600
116.959,1362359
116.999,1361846
117.039,1362058
117.078,1362063
117.119,1362379
117.158,1362384
117.199,1362390
117.237,1362602
117.278,1362607
117.316,1362612
117.356,1362928
117.395,1363452
117.436,1363768
117.474,1363877
117.515,1364816
117.553,1364717
117.594,1364307
117.633,1364001
117.673,1364629
117.712,1364426
117.751,1364846
117.791,1365162
117.83,1365479
117.87,1365484
117.908,1365592
117.949,1365597
117.988,1366121
118.028,1366749
118.068,1366858
118.107,1366966
118.146,1367386
118.186,1367391
118.225,1366774
118.265,1366986
118.304,1367614
118.345,1367827
118.384,1368247
118.424,1368563
118.464,1368568
118.503,1368469
118.544,1368371
118.582,1368583
118.623,1369003
118.661,1369216
118.701,1369013
118.74,1368914
118.779,1368400
118.82,1367887
118.857,1367684
118.898,1367585
118.936,1367694
118.977,1367180
119.015,1367393
119.056,1368124
119.093,1368129
119.134,1368445
119.173,1369176
119.207,1368974
119.248,1368045
119.284,1368257
119.318,1368469
119.353,1368577
119.395,1369516
119.429,1370558
119.464,1370355
119.506,1370049
119.542,1370261
119.576,1370369
119.618,1369959
119.652,1370483
119.695,1370592
119.733,1370285
119.773,1370083
119.813,1370503
119.851,1370611
119.892,1371031
119.93,1371762
119.964,1371663
119.998,1371253
120.04,1371258
120.074,1371055
120.109,1370644
120.15,1371064
120.187,1371692
120.228,1371489
120.265,1372428
120.306,1372641
120.343,1372334
120.386,1372650
120.421,1372863
120.464,1372141
120.5,1372354
120.534,1372255
120.576,1372259
120.611,1373198
120.652,1373722
120.687,1374038
120.722,1375080
120.763,1375085
120.798,1374674
120.832,1374368
120.867,1373853
120.908,1372509
120.942,1371995
120.978,1371896
121.018,1372212
121.057,1372217
121.097,1372741
121.137,1372434
121.176,1372439
121.215,1371303
121.254,1370685
121.295,1370379
121.334,1370073
121.374,1369974
121.414,1370498
121.453,1370814
121.493,1370301
121.532,1370202
121.573,1369688
121.612,1369174
121.652,1369387
121.691,1369496
121.73,1370019
