START TIME:2025-04-28 18:25:15,
38.83,1144826
38.871,1144862
38.909,1144825
38.951,1144823
38.987,1144776
39.03,1144966
39.066,1144921
39.1,1144890
39.136,1144877
39.178,1144949
39.212,1145042
39.249,1144866
39.289,1144823
39.33,1144953
39.369,1144949
39.41,1145012
39.449,1145075
39.49,1144999
39.528,1144840
39.571,1145033
39.607,1144915
39.65,1144850
39.687,1144897
39.722,1144918
39.764,1145067
39.799,1145452
39.834,1145077
39.869,1144555
39.911,1144138
39.946,1143776
39.982,1143422
40.022,1143158
40.063,1142915
40.101,1142849
40.143,1142617
40.181,1142387
40.223,1142293
40.259,1142298
40.301,1142172
40.339,1141951
40.374,1141817
40.415,1141820
40.451,1141630
40.486,1141739
40.521,1141620
40.561,1141466
40.596,1141389
40.635,1141212
40.672,1141129
40.715,1141101
40.75,1141078
40.793,1141041
40.83,1140922
40.865,1140853
40.907,1140844
40.942,1140842
40.977,1140567
41.019,1140484
41.054,1140549
41.089,1140466
41.129,1140645
41.163,1140450
41.205,1140379
41.241,1140289
41.283,1140334
41.319,1140325
41.354,1140200
41.397,1140080
41.432,1140184
41.467,1140113
41.502,1140047
41.542,1139944
41.577,1140001
41.616,1139901
41.654,1139842
41.696,1139885
41.734,1139812
41.776,1139747
41.813,1139774
41.856,1139665
41.892,1139755
41.927,1139768
41.969,1139572
42.004,1139601
42.039,1139674
42.075,1139529
42.114,1139620
42.149,1139628
42.189,1139566
42.224,1139517
42.267,1139484
42.303,1139478
42.337,1139479
42.38,1139317
42.416,1139337
42.451,1139475
42.492,1139326
42.527,1139244
42.563,1139246
42.603,1139216
42.638,1139176
42.68,1139158
42.716,1139089
42.759,1139169
42.794,1139176
42.829,1139101
42.873,1139148
42.908,1139100
42.943,1139000
42.984,1139041
43.019,1139064
43.054,1139037
43.095,1139003
43.13,1139114
43.172,1139161
43.207,1139032
43.25,1138993
43.286,1139098
43.321,1138976
43.364,1138950
43.399,1138881
43.434,1138932
43.476,1138958
43.512,1138738
43.547,1138830
43.588,1138929
